Series Name,Series Code,Country Name,Country Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Agricultural land (% of land area),AG.LND.AGRI.ZS,United States,USA,45.2658380427472,45.1893009686689,45.2305848555761,45.2900702036254,45.0848730397122,45.0803215919807,45.0758028884775,45.0712950997171,45.0668418846705,45.0623450106528,44.9200211644376,44.7062669036734,44.4925126429091,44.2787583821449,44.0649990707762,44.1246821508141,44.1843601802475,44.2440272776368,44.3037053070702,44.363367353855,44.363367353855,44.363367353855,44.363367353855,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,United Kingdom,GBR,72.4093746124912,71.1734799322118,70.1194560410036,70.0739883437358,70.1690571652957,70.0863886248088,70.4790641921217,70.0863886248088,73.7320712602819,72.9425866986318,73.0955234985326,71.6116231967925,71.1941470673335,70.9461414458728,71.020543132311,71.3024428553714,71.2272144835283,70.8386723432398,71.7148836440293,72.1950667548465,71.7185202331253,72.4229988013062,71.3400491877816,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,United Arab Emirates,ARE,5.60405519571952,7.2655589974655,7.70205575894114,7.91326386933258,7.96958603210363,7.80061954379048,7.80061954379048,7.84286116586877,7.58377921712194,7.49929597296536,7.5978597578147,5.46184173472261,5.52379611377077,5.47029005913827,5.30413967896367,5.34215713883413,5.3858068149817,5.39003097718952,5.40411151788229,5.40411151788229,5.37524640946212,5.49704308645452,5.48859476203886,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,China,CHN,55.5707814882368,55.5703835980099,55.5700446698569,55.6328406499339,55.695637819864,55.7583318331087,55.8204876430821,55.8831828468425,55.9457666238713,56.0083515761775,56.0709365390941,56.1332002008976,56.1202755223834,56.1169108294991,56.107828313151,56.1080381401584,56.0967380472843,56.090201435984,56.0816654067681,56.0773345717245,56.077067426709,56.0770143746388,56.0768976600843,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,India,IND,60.8349954089715,60.8844372542623,60.8689656564162,60.7048321836142,60.7293849367178,60.6247834817149,60.6671622062499,60.5834137744308,60.5094191760365,60.4132261981239,60.4593046525785,60.5639061075814,60.3974182611942,60.4300431523044,60.4206256579633,60.4394606466455,60.4495508191538,60.4317248477225,60.3990999566123,60.2839387997403,60.2435646561437,60.2198133654425,60.2198569213538,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Russian Federation,RUS,13.2643318906314,13.2281702241387,13.2566688683588,13.2390216624218,13.2257977869402,13.2029341345878,13.1846021330511,13.1661598924145,13.1573709193088,13.1558444571717,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,13.1584362579663,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,France,FRA,54.7513906999339,54.6584338691592,54.4360781420356,54.2642270260991,54.0768526956519,53.9083390676934,53.7987132168301,53.675507755357,53.5336047206044,53.338921792617,53.1635975797953,52.9988658714983,52.8279247639972,52.7408105457514,52.6790818124871,52.549232317366,52.5360830014044,52.4637617636155,52.4475461002233,52.410066897145,52.3417653321937,52.2706969320089,52.1475462828527,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Germany,DEU,49.776517105037,49.1489483638031,48.9124516406362,48.8220120378332,48.6355558103537,48.7400017201342,48.7799982796686,48.8330083725198,48.5948612066988,48.6133019760805,48.5356968706078,48.4380826711798,47.9100324181656,47.9659169153087,47.8108681930338,47.8588626461821,47.9363714531384,47.9590666743106,47.6843370735058,47.7631164667831,47.6415364359723,47.7002776267209,47.4970663155786,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Japan,JPN,14.5679012345679,14.4609053497942,14.4252400548697,13.1495198902606,13.0672153635117,12.9931412894376,12.9327846364883,12.8724279835391,12.8148148148148,12.7572016460905,12.6968449931413,12.6447187928669,12.6008230452675,12.5130315500686,12.480109739369,12.4499314128944,12.3950617283951,12.3347050754458,12.2661179698217,12.1920438957476,12.1262002743484,12.0631001371742,11.9945130315501,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Brazil,BRA,27.2926871289545,27.3050941955985,27.3175012622426,27.3299083288866,27.3423153955306,27.3547224621746,27.3671295288186,27.3795365954626,27.3925777744809,27.4788170573836,27.5650563402862,27.6512956231889,27.7375349060916,27.8237741889942,27.9100134718969,27.9962527547995,28.0824920377022,28.1687313206048,28.2549706035075,28.3410663137971,28.3410903622098,28.3410903622098,28.3410903622098,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Canada,CAN,6.83044841443787,6.83312531579071,6.83580221714355,6.83816244106634,6.92547841246365,6.90930546679025,6.89313252111685,6.87695957544345,6.75739131501664,6.6931456825485,6.62890005008036,6.56465441761223,6.50040878514409,6.43568354118357,6.44363616895263,6.45155533545478,6.45947450195693,6.46750520601544,6.47475514717938,6.47185517071381,6.49170885574736,6.48668966571079,6.44051311737432,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Australia,AUS,60.3830883980058,59.056923056897,59.2881038230738,59.3181729429988,58.1856995951733,57.2094294677375,51.4046574593546,53.3993725837314,53.27857542663,51.8536766332999,50.6733660492301,50.0184840477461,48.9920987204353,51.5628132199992,50.3854314463116,48.3937102169923,48.7383986566523,45.3144240657095,44.5399257932247,48.3406179391109,46.6580950127535,47.1237724290889,46.2524798427461,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Korea, Dem. People's Rep.",PRK,21.1776430529026,21.1776430529026,21.1776430529026,21.1776430529026,21.1776430529026,21.1776430529026,21.1776430529026,21.5928909559007,21.5928909559007,21.5928909559007,22.0081388588988,22.174238020098,22.2572876006976,21.8420396976995,21.8420396976995,21.8420396976995,21.8420396976995,21.8420396976995,21.7589901170999,21.6344157462005,21.5347562494809,21.5098413753011,21.5098413753011,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Saudi Arabia,SAU,77.5856053663552,80.8418888304825,80.8418888304825,80.8446799305946,80.8456102972987,80.8479362140588,80.8065348957292,80.8102563625453,80.7902534784085,80.7907186617605,80.7428047765027,80.6790746572762,80.6655843400676,80.6572110397313,80.6372081555945,80.6139489879936,80.7443398815643,80.7730416943838,80.7683898608636,80.7540008559374,80.7539305202145,80.7539305202145,80.7539305202145,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Israel,ISR,25.9704251386322,25.8317929759704,26.1552680221811,25.9242144177449,26.0166358595194,25.4621072088725,23.7292051756007,23.775415896488,23.5120147874307,23.9417744916821,23.826247689464,24.1497227356747,23.3133086876155,23.8909426987061,24.3160813308688,24.043438077634,24.8475046210721,24.6719038817006,25.5083179297597,29.7597042513863,29.6349353049908,29.5009242144177,29.8706099815157,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Iran, Islamic Rep.",IRN,39.7768854834353,39.1015250865689,38.6085119968565,39.1850241901815,39.3207102335519,39.4563962769223,39.5920823202927,29.2437191483091,29.3794051916796,29.51509123505,28.6629092070041,28.6636459638007,28.5735160490189,28.4833861342371,28.3932562194553,28.2141015250866,28.2141015250866,28.2141015250866,28.2141015250866,28.6194144838213,28.9152542372881,28.975654853621,28.975654853621,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Mexico,MEX,54.6953368142185,54.6958512307415,54.6979088968338,54.8110805319067,54.8110805319067,54.8110805319067,54.8213688623679,54.8213688623679,54.8213688623679,54.8882430103655,53.1675197407341,52.8213174207156,52.3712029630392,52.1217109493557,51.7050335656781,51.1772422130199,50.7976028190025,50.7626224954345,50.5866920445485,49.8706242444507,49.6494251395355,49.4385143650814,49.969392216878,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,South Africa,ZAF,80.7755401495355,80.8332440297092,80.888474886447,80.796148678169,80.8085137953491,80.7260796808151,80.4622905143064,80.359247871139,79.8687648896619,79.8704135719526,80.0501199416366,79.9511990041959,79.871237913098,79.4450535409574,79.4178502831612,79.4178502831612,79.4178502831612,79.4178502831612,79.4178502831612,79.4178502831612,79.4178502831612,79.4178502831612,79.4178502831612,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Nigeria,NGA,72.309529299384,72.4888336242959,72.6681379492078,72.8474433720917,73.0267487949757,73.2060542178596,73.3853596407435,73.5646650636275,73.7439704865114,73.9232759093953,74.1025813322793,74.2818867551632,74.4611921780471,74.6404976009311,74.819803023815,74.999108446699,75.1784138695829,75.3577192924668,75.5370204332598,75.7163169625701,75.8956157976218,76.0749146326735,76.2542134677251,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Egypt, Arab Rep.",EGY,3.27451906173088,3.49892008639309,3.30604249334472,3.35325732080968,3.4396504093626,3.4245818474057,3.49389723240745,3.53910291827817,3.54914862624943,3.55417148023507,3.55818976342358,3.70586167060124,3.68777939625295,3.63654628559948,3.71289366618112,3.74802350695665,3.73217137977799,3.80719985936009,3.75083168416294,3.85450680596715,3.88065698930132,3.93992666633181,3.98915063539103,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Pakistan,PAK,47.6857617268576,47.6805728518057,47.6053341635533,47.9607721046077,47.8466168534662,47.7921336654213,46.7582503113325,46.6544728102947,46.875,46.7167393109174,45.8086861768369,45.7619863013699,45.7165836446658,46.6168534661685,46.781600249066,47.063096720631,47.0267745952677,46.9619136571191,47.7298671647987,48.0009858862599,47.9361249481112,47.1188771274388,47.6377646326276,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Indonesia,IDN,24.2204275849125,25.3244423345496,25.1273089646496,25.4058680631195,25.6620572148671,27.1667024408275,28.4236803995059,27.6141013752724,27.4298156237034,28.228742292355,28.761360071456,29.6135485180177,29.6135485180177,30.0929045192086,30.0929045192086,30.3592134087591,30.3592134087591,30.5189987424894,32.0635903018824,33.1820876379946,33.1820876379946,33.1820876379946,33.1820876379946,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Singapore,SGP,1.7910447761194,1.7910447761194,1.7910447761194,1.7910447761194,1.77777777777778,1.16448326055313,1.1611030478955,1.10304789550073,1.0806916426513,1.15107913669065,1,1,1.05413105413105,1.03693181818182,1.03399433427762,0.947666195190948,0.930888575458392,0.930888575458392,0.930888575458392,0.926966292134832,0.92436974789916,0.921787709497207,0.919220055710306,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Malaysia,MYS,21.137422005783,21.1447268300107,21.1191599452138,21.1444224623345,21.4198752092528,21.6595343174555,21.7065895601887,21.7148379242124,21.5346218231624,21.6320194795313,21.7635063156293,21.9753462182316,22.4906406939583,22.9207122203622,23.8295541013544,24.529904124182,24.6203013239994,26.0842185359915,26.0873535230558,26.0873535230558,26.0873535230558,26.0873535230558,26.0873535230558,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Argentina,ARG,46.8924138283839,46.9223770321081,46.9581867146078,46.9932655872605,47.031267699301,47.1749814557001,47.3186952120993,47.4737365211259,47.5533947944415,47.4910932549905,46.4235627710848,45.4302094866426,46.1389123357048,45.7919603608739,45.5813044224958,44.9219312381015,43.8533045394254,42.7846778407492,41.7160511420731,40.647424443397,39.6032286082823,39.6032286082823,39.6032286082823,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Chile,CHL,20.4685205209729,20.2546763286583,20.3219229300151,20.3757202111005,20.9338670023617,20.7455765185628,21.4314918524018,21.364245251045,21.2499260287385,21.1584706508933,21.2284071163043,21.2257172522501,21.1732649031918,21.23513177644,21.1894040875174,21.2243723202229,21.1977426660857,21.2297520483315,21.1716509847592,21.1920939515717,21.1087081658893,21.076429797238,21.1288821462963,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Venezuela, RB",VEN,24.5360240349187,24.5258205317159,24.5280879768721,24.5314891446063,24.420384331954,24.420384331954,24.4770704608582,24.4827390737487,24.4373901706252,24.4419250609376,24.4884076866391,24.3750354288306,24.3750354288306,24.3750354288306,24.3750354288306,24.3750354288306,24.3750354288306,24.3750354288306,24.3750354288306,24.3750354288306,24.3750354288306,24.3750354288306,24.3750354288306,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Ukraine,UKR,71.8235954086476,71.5508759817036,71.4697505825494,71.4335030637784,71.4537232022646,71.3829530155004,71.3812269133842,71.2899996548034,71.2579397956366,71.2305594393524,71.2766691983705,71.2490506110613,71.2335151556998,71.2576814195954,71.2853000069046,71.6805910377684,71.658409432236,71.6532306789345,71.665314436638,71.6191955808735,71.3306869175009,71.2996202968588,71.2996202968588,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Norway,NOR,2.86657686368565,2.84193580182015,2.85288738487148,2.86657686368565,2.86383896792281,2.84741159334582,2.84741159334582,2.83646001029449,2.83372211453166,2.82550842724316,2.80579557775076,2.77693815641051,2.75404934783323,2.73515786706969,2.71818291334012,2.70359004539183,2.7026523658753,2.70004137564292,2.69388608214041,2.69802778789613,2.70133768638321,2.69589201685045,2.70656765993659,..,..
