Country Name,Country Code,Time,Time Code,Agricultural land (% of land area) [AG.LND.AGRI.ZS],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Forest area (% of land area) [AG.LND.FRST.ZS],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Current account balance (BoP, current US$) [BN.CAB.XOKA.CD]",Net migration [SM.POP.NETM],Population growth (annual %) [SP.POP.GROW],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Employment to population ratio, 15+, total (%) (modeled ILO estimate) [SL.EMP.TOTL.SP.ZS]","Total reserves (includes gold, current US$) [FI.RES.TOTL.CD]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]
Afghanistan,AFG,1998,YR1998,58.05927357,..,64.61451,21.895,0.071269702,1.852781994,..,..,..,8.082,..,35740,3.882930605,52.943,95.6,42.971,..,..
Afghanistan,AFG,1999,YR1999,57.89982062,..,64.98719,21.986,0.058246842,1.852781994,..,..,..,8.07,..,85758,4.077879485,54.846,93.1,42.977,..,..
Afghanistan,AFG,2000,YR2000,57.94581666,4.446890831,65.47169,22.078,0.055166607,1.852781994,..,..,..,8.054,..,-1007135,1.443803024,55.298,90.6,42.992,..,..
Afghanistan,AFG,2001,YR2001,57.94734986,9.294527054,66.05487,22.169,0.055292719,1.852781994,..,..,..,8.04,..,-192286,0.742516834,55.798,88,43.029,..,..
Afghanistan,AFG,2002,YR2002,57.93968385,14.13361645,64.08779,22.261,0.066810138,1.852781994,..,183.5327752,..,8.186,..,1327074,6.449321478,56.454,85.4,43.01,..,..
Afghanistan,AFG,2003,YR2003,58.08380479,18.9711647,63.34015,22.353,0.073004968,1.852781994,8.832277813,200.4623759,..,8.122,..,388632,7.541018965,57.344,82.8,43.098,..,..
Afghanistan,AFG,2004,YR2004,58.15126566,23.81418228,63.05186,22.5,0.054866759,1.852781994,1.414117981,221.6576621,..,8.053,..,-248616,3.933177688,57.944,80.1,43.195,..,2.431253787
Afghanistan,AFG,2005,YR2005,58.13440044,28.66967201,61.81535,22.703,0.080361134,1.852781994,11.22971482,255.0551071,12.68626872,8.113,..,252185,3.576508004,58.361,77.4,43.239,..,1.992065699
Afghanistan,AFG,2006,YR2006,58.12366803,33.54441833,61.01674,22.907,0.089756909,1.852781994,5.357403251,274.0006557,6.78459655,8.054,..,62684,4.139678035,58.684,74.7,43.22,..,1.896233996
Afghanistan,AFG,2007,YR2007,58.12980084,38.44000244,59.61623,23.113,0.109940042,1.852781994,13.82631955,375.0782615,8.680570785,8.108,..,-942887,1.793195727,59.111,72,43.155,..,2.566267352
Afghanistan,AFG,2008,YR2008,58.13286724,42.4,58.90637,23.32,0.165573355,1.852781994,3.924983822,387.8492881,26.41866415,8.022,-238376258.6,221000,2.002333262,59.852,69.3,43.164,3042274496,2.335545702
Afghanistan,AFG,2009,YR2009,58.13286724,48.27900696,56.27216,23.528,0.239506901,1.852781994,21.39052839,443.8451505,-6.811161089,8.082,277627586.2,-58881,3.561288374,60.364,66.8,43.11,4265888740,2.087412553
Afghanistan,AFG,2010,YR2010,58.13440044,42.7,53.78926,23.737,0.304230216,1.852781994,14.36244147,554.5947346,2.178537524,8.068,-577708206.8,-141355,2.894904104,60.851,64.2,43.092,5162440807,1.945835694
Afghanistan,AFG,2011,YR2011,58.13133404,43.22201891,52.67994,23.948,0.408965291,1.852781994,0.426354785,621.9124138,11.80418581,7.947,-2246921171,418796,3.689508302,61.419,61.8,43.18,6344641960,1.821345454
Afghanistan,AFG,2012,YR2012,58.12980084,69.1,50.17682,24.16,0.335061035,1.852781994,12.75228709,663.1410528,6.441212809,8.019,-5150161881,105905,4.077627729,61.923,59.4,43.194,7152304398,1.17541612
Afghanistan,AFG,2013,YR2013,58.12366803,68.0408783,47.64077,24.373,0.298087813,1.852781994,5.600744658,651.9878619,7.385771784,7.949,-5095040597,48076,3.466788304,62.417,57.2,43.292,7288702711,1.076949768
Afghanistan,AFG,2014,YR2014,58.12366803,89.5,44.79854,24.587,0.283692396,1.852781994,2.724543364,628.1468039,4.673996035,7.91,-3232893168,255611,3.657576065,62.545,55,43.374,7528549880,1.298012878
Afghanistan,AFG,2015,YR2015,58.12366803,71.5,44.65121,24.803,0.297971775,1.852781994,1.45131466,592.4761648,-0.661709165,8.989,-4192816423,-281739,3.121341229,62.659,53,42.93,6976966154,0.994575823
Afghanistan,AFG,2016,YR2016,58.12366803,97.7,44.37642,25.02,0.268358773,1.852781994,2.260314201,520.2519549,4.383891955,10.086,-2708462935,-90238,2.581549399,63.136,51.1,42.475,7281910524,0.956772141
Afghanistan,AFG,2017,YR2017,58.12366803,97.7,43.989,25.25,0.281195816,1.852781994,2.647003202,530.1498626,4.975951506,11.18,-3554897942,-47090,2.866492148,63.016,49.4,42.021,8097280956,0.9452268
Afghanistan,AFG,2018,YR2018,58.27698818,93.43087769,44.39712,25.495,0.299082634,1.852781994,1.189228128,502.0570992,0.626149149,11.11,-3896837604,-47205,2.885207973,63.081,47.8,42.128,8206682106,1.006745856
