Series Name,Series Code,Country Name,Country Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Agricultural land (% of land area),AG.LND.AGRI.ZS,United States,USA,45.26583804,45.18930097,45.23058486,45.2900702,45.08487304,45.08032159,45.07580289,45.0712951,45.06684188,45.06234501,44.92002116,44.7062669,44.49251264,44.27875838,44.06499907,44.12468215,44.18436018,44.24402728,44.30370531,44.36336735,44.36336735,44.36336735,44.36336735,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,United Kingdom,GBR,72.40937461,71.17347993,70.11945604,70.07398834,70.16905717,70.08638862,70.47906419,70.08638862,73.73207126,72.9425867,73.0955235,71.6116232,71.19414707,70.94614145,71.02054313,71.30244286,71.22721448,70.83867234,71.71488364,72.19506675,71.71852023,72.4229988,71.34004919,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,United Arab Emirates,ARE,5.604055196,7.265558997,7.702055759,7.913263869,7.969586032,7.800619544,7.800619544,7.842861166,7.583779217,7.499295973,7.597859758,5.461841735,5.523796114,5.470290059,5.304139679,5.342157139,5.385806815,5.390030977,5.404111518,5.404111518,5.375246409,5.497043086,5.488594762,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,China,CHN,55.57078149,55.5703836,55.57004467,55.63284065,55.69563782,55.75833183,55.82048764,55.88318285,55.94576662,56.00835158,56.07093654,56.1332002,56.12027552,56.11691083,56.10782831,56.10803814,56.09673805,56.09020144,56.08166541,56.07733457,56.07706743,56.07701437,56.07689766,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,India,IND,60.83499541,60.88443725,60.86896566,60.70483218,60.72938494,60.62478348,60.66716221,60.58341377,60.50941918,60.4132262,60.45930465,60.56390611,60.39741826,60.43004315,60.42062566,60.43946065,60.44955082,60.43172485,60.39909996,60.2839388,60.24356466,60.21981337,60.21985692,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Russian Federation,RUS,13.26433189,13.22817022,13.25666887,13.23902166,13.22579779,13.20293413,13.18460213,13.16615989,13.15737092,13.15584446,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,France,FRA,54.7513907,54.65843387,54.43607814,54.26422703,54.0768527,53.90833907,53.79871322,53.67550776,53.53360472,53.33892179,53.16359758,52.99886587,52.82792476,52.74081055,52.67908181,52.54923232,52.536083,52.46376176,52.4475461,52.4100669,52.34176533,52.27069693,52.14754628,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Germany,DEU,49.77651711,49.14894836,48.91245164,48.82201204,48.63555581,48.74000172,48.77999828,48.83300837,48.59486121,48.61330198,48.53569687,48.43808267,47.91003242,47.96591692,47.81086819,47.85886265,47.93637145,47.95906667,47.68433707,47.76311647,47.64153644,47.70027763,47.49706632,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Japan,JPN,14.56790123,14.46090535,14.42524005,13.14951989,13.06721536,12.99314129,12.93278464,12.87242798,12.81481481,12.75720165,12.69684499,12.64471879,12.60082305,12.51303155,12.48010974,12.44993141,12.39506173,12.33470508,12.26611797,12.1920439,12.12620027,12.06310014,11.99451303,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Brazil,BRA,27.29268713,27.3050942,27.31750126,27.32990833,27.3423154,27.35472246,27.36712953,27.3795366,27.39257777,27.47881706,27.56505634,27.65129562,27.73753491,27.82377419,27.91001347,27.99625275,28.08249204,28.16873132,28.2549706,28.34106631,28.34109036,28.34109036,28.34109036,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Canada,CAN,6.830448414,6.833125316,6.835802217,6.838162441,6.925478412,6.909305467,6.893132521,6.876959575,6.757391315,6.693145683,6.62890005,6.564654418,6.500408785,6.435683541,6.443636169,6.451555335,6.459474502,6.467505206,6.474755147,6.471855171,6.491708856,6.486689666,6.440513117,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Australia,AUS,60.3830884,59.05692306,59.28810382,59.31817294,58.1856996,57.20942947,51.40465746,53.39937258,53.27857543,51.85367663,50.67336605,50.01848405,48.99209872,51.56281322,50.38543145,48.39371022,48.73839866,45.31442407,44.53992579,48.34061794,46.65809501,47.12377243,46.25247984,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Korea, Dem. People's Rep.",PRK,21.17764305,21.17764305,21.17764305,21.17764305,21.17764305,21.17764305,21.17764305,21.59289096,21.59289096,21.59289096,22.00813886,22.17423802,22.2572876,21.8420397,21.8420397,21.8420397,21.8420397,21.8420397,21.75899012,21.63441575,21.53475625,21.50984138,21.50984138,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Saudi Arabia,SAU,77.58560537,80.84188883,80.84188883,80.84467993,80.8456103,80.84793621,80.8065349,80.81025636,80.79025348,80.79071866,80.74280478,80.67907466,80.66558434,80.65721104,80.63720816,80.61394899,80.74433988,80.77304169,80.76838986,80.75400086,80.75393052,80.75393052,80.75393052,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Israel,ISR,25.97042514,25.83179298,26.15526802,25.92421442,26.01663586,25.46210721,23.72920518,23.7754159,23.51201479,23.94177449,23.82624769,24.14972274,23.31330869,23.8909427,24.31608133,24.04343808,24.84750462,24.67190388,25.50831793,29.75970425,29.6349353,29.50092421,29.87060998,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Iran, Islamic Rep.",IRN,39.77688548,39.10152509,38.608512,39.18502419,39.32071023,39.45639628,39.59208232,29.24371915,29.37940519,29.51509124,28.66290921,28.66364596,28.57351605,28.48338613,28.39325622,28.21410153,28.21410153,28.21410153,28.21410153,28.61941448,28.91525424,28.97565485,28.97565485,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Mexico,MEX,54.69533681,54.69585123,54.6979089,54.81108053,54.81108053,54.81108053,54.82136886,54.82136886,54.82136886,54.88824301,53.16751974,52.82131742,52.37120296,52.12171095,51.70503357,51.17724221,50.79760282,50.7626225,50.58669204,49.87062424,49.64942514,49.43851437,49.96939222,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,South Africa,ZAF,80.77554015,80.83324403,80.88847489,80.79614868,80.8085138,80.72607968,80.46229051,80.35924787,79.86876489,79.87041357,80.05011994,79.951199,79.87123791,79.44505354,79.41785028,79.41785028,79.41785028,79.41785028,79.41785028,79.41785028,79.41785028,79.41785028,79.41785028,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Nigeria,NGA,72.3095293,72.48883362,72.66813795,72.84744337,73.02674879,73.20605422,73.38535964,73.56466506,73.74397049,73.92327591,74.10258133,74.28188676,74.46119218,74.6404976,74.81980302,74.99910845,75.17841387,75.35771929,75.53702043,75.71631696,75.8956158,76.07491463,76.25421347,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,"Egypt, Arab Rep.",EGY,3.274519062,3.498920086,3.306042493,3.353257321,3.439650409,3.424581847,3.493897232,3.539102918,3.549148626,3.55417148,3.558189763,3.705861671,3.687779396,3.636546286,3.712893666,3.748023507,3.73217138,3.807199859,3.750831684,3.854506806,3.880656989,3.939926666,3.989150635,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Pakistan,PAK,47.68576173,47.68057285,47.60533416,47.9607721,47.84661685,47.79213367,46.75825031,46.65447281,46.875,46.71673931,45.80868618,45.7619863,45.71658364,46.61685347,46.78160025,47.06309672,47.0267746,46.96191366,47.72986716,48.00098589,47.93612495,47.11887713,47.63776463,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Indonesia,IDN,24.22042758,25.32444233,25.12730896,25.40586806,25.66205721,27.16670244,28.4236804,27.61410138,27.42981562,28.22874229,28.76136007,29.61354852,29.61354852,30.09290452,30.09290452,30.35921341,30.35921341,30.51899874,32.0635903,33.18208764,33.18208764,33.18208764,33.18208764,..,..
